hash,voter_id,candidate,timestamp
f4f50595f05f1ceb4011b06d385c830421164125647342eb5fe535e89ae85341,f9dbcffd-ea04-4695-a175-cd6450e735a0,Charlie,1775490913.0210924
c67993ed2af71daa9fd793706b2defabc961d3768fe297f2c00d477068073435,8238a031-9aaa-46c4-bfd6-443485a586aa,Pablo,1775490948.3561256
eeaf759381dd5f14ea696cc9d05c682bbef38f610c4c537b8da1950de10d6c41,8b2576ff-7d72-4dcf-8ca1-d37c04f8fc57,Charlie,1775493408.1157062
3c0d07a466dcb36ebb109d717416b2c91257c99372035c92c5542bcfb5cc6138,usr-1a2b-3c4d-5e6f-jane0002,Ramon,1775493675.7053726
21eaef18d0756a76fecb0090ba0e893c994e06225a0a378d94653d44302df8a4,usr-94faa9da-5585-4420-885f-e43a0831e7ec,Charlie,1775494846.436837
de3b645f529b59477b45e4df1031bb225d7099fd19ff7b911785d49ead910b83,usr-e2136f8b-9c17-4119-8c4d-dbe16d5df93b,Charlie,1775661603.4286923
0b8d41b3e9338fe9faa9ae9d4638a647e15293456b5c19bc7979d63bf8149b6e,usr-86776c22-6e9c-4177-8807-a2d22eb581c7,Pablo,1775661829.5794182
cf5df5f8c1700f21e116b32d8332c519f8a661e0839f971e7e1d410b2d8f974e,usr-8b840ffd-d0c3-4784-955d-1d7664040454,Ramon,1775662282.9451256
c369cbf9f01116f93dc52fc2160b3ec4d9be4a168770816d1007d66cbaa21876,usr-0e3f009b-03c4-4f53-a354-0ed83019ce9b,Charlie,1775662310.701782
c6e2967a10ffde6822ea0dc690d9296acf5e6caaf8ab3552511769f5a0112bfe,usr-d73aa307-4357-4f7b-9103-b25c9fde0f32,Charlie,1776019937.6635816
bc95f5a44c8a8d163435da39c7d0cd1ae1a27731ddb6c299647f72a0ffc63441,usr-19a13d83-3c6f-4b4e-b778-a56d2a969821,Ramon,1776021382.9536963
4e2e44402a0be997d1a93eddc6b21afbe52517b4d2a87de2b77ef35b46d56760,usr-4a7b890e-2573-42f4-b695-f597251ebdfc,Pablo,1776023957.9722316
9fbb0df53609af1045e933710c125707a6824a7e1921db0bbe3ae8d41169f53d,usr-6918159a-84aa-4707-8865-6df999ecccf6,Charlie,1776200740.3264654
VOTER-CARIGANEL@LTU.EDU,Charlie
VOTER-NARIGANEL@LTU.EDU,Charlie
VOTER-ATALK@LTU.EDU,Pablo
VOTER-PLTU@LTU.EDU,Ramon
VOTER-CAL@LTU.EDU,Pablo
usr-3b97c378-f4d1-49ac-811f-df9355be8549,Ramon
usr-4debe443-ff04-4602-97b6-611a498e31d4,Ramon
usr-6918159a-84aa-4707-8865-6df999ecccf6,Pablo
usr-4641b8d6-6ca9-4d4f-8ccb-e0e8206629fc,Charlie
usr-36241cef-7ce7-45cc-a0ab-5d68a4b92fe0,Ramon
bc625eb2477430d0b5816106006b85a702f5df98586ced7ce2e1d110990478ef,usr-9549f413-5d27-4478-b9e9-a4a230c58be8,Pablo,2026-04-27T13:07:38.255300
